Date,TotalSamples
2020-05-22,4844.0
2020-05-23,5206.0
2020-05-24,5428.0
2020-05-25,5997.0
2020-05-26,6319.0
2020-05-27,6436.0
2020-05-28,6984.0
2020-05-29,7488.0
2020-05-30,8017.0
2020-05-31,8283.0
2020-06-01,8768.0
2020-06-02,9079.0
2020-06-03,9551.0
2020-06-04,10025.0
2020-06-05,10790.0
2020-06-06,11261.0
2020-06-07,11516.0
2020-06-08,12012.0
2020-06-09,12455.0
2020-06-10,13035.0
2020-06-11,13479.0
2020-06-12,14047.0
2020-06-13,14518.0
2020-06-15,15453.0
2020-06-16,16158.0
2020-06-17,16630.0
2020-06-18,16630.0
2020-06-19,18008.0
2020-06-20,18521.0
2020-06-21,19154.0
2020-06-22,19799.0
2020-06-23,20398.0
2020-06-24,20938.0
2020-06-25,21274.0
2020-06-26,21890.0
2020-06-27,22623.0
2020-06-28,23011.0
2020-06-29,23709.0
2020-06-30,24237.0
2020-07-01,24856.0
2020-07-02,25440.0
2020-07-03,25917.0
2020-07-04,26569.0
2020-07-05,26808.0
2020-07-06,27645.0
2020-07-07,28072.0
2020-07-08,28581.0
2020-07-09,29232.0
2020-07-10,29834.0
2020-07-11,30922.0
2020-07-12,31520.0
2020-07-13,32691.0
2020-07-14,33807.0
2020-07-15,34619.0
2020-07-16,35430.0
2020-07-17,36426.0
2020-07-18,38042.0
2020-07-19,39288.0
2020-07-20,40477.0
2020-07-21,41772.0
2020-07-22,44986.0
2020-07-23,48880.0
2020-07-24,53335.0
2020-07-25,57861.0
2020-07-26,59558.0
2020-07-27,63784.0
2020-07-28,68034.0
2020-07-29,72739.0
2020-07-30,77630.0
2020-07-31,81865.0
2020-08-01,86288.0
2020-08-02,89031.0
2020-08-03,91227.0
2020-08-04,93365.0
2020-08-05,95983.0
2020-08-06,98733.0
2020-08-07,101947.0
2020-08-08,104833.0
2020-08-09,106792.0
2020-08-10,109863.0
2020-08-11,112689.0
2020-08-12,115758.0
2020-08-13,118882.0
2020-08-14,121371.0
2020-08-15,122854.0
2020-08-16,124786.0
2020-08-17,127286.0
2020-08-18,130246.0
2020-08-19,133048.0
2020-08-20,136092.0
2020-08-21,138913.0
2020-08-22,141655.0
2020-08-23,143626.0
2020-08-24,146012.0
2020-08-25,149273.0
2020-08-26,152852.0
2020-08-27,155750.0
2020-08-28,158993.0
2020-08-29,161525.0
2020-08-30,164524.0
2020-08-31,167615.0
2020-09-01,170445.0
2020-09-02,173469.0
2020-09-03,177259.0
2020-09-04,180372.0
2020-09-05,183390.0
2020-09-06,185322.0
2020-09-07,188435.0
2020-09-08,191632.0
2020-09-09,194647.0
2020-09-10,197711.0
2020-09-11,201010.0
2020-09-12,203356.0
2020-09-13,205519.0
2020-09-14,208164.0
2020-09-15,210345.0
2020-09-16,214292.0
2020-09-17,216202.0
2020-09-18,218285.0
2020-09-19,220706.0
2020-09-20,222429.0
2020-09-21,225328.0
2020-09-22,228242.0
2020-09-23,231045.0
2020-09-24,233456.0
2020-09-25,235979.0
2020-09-26,238223.0
2020-09-27,239900.0
2020-09-28,242948.0
2020-09-29,245788.0
2020-09-30,248439.0
2020-10-01,250993.0
2020-10-02,253413.0
2020-10-03,255951.0
2020-10-04,257972.0
2020-10-05,261029.0
2020-10-06,263242.0
2020-10-07,265870.0
2020-10-08,268286.0
2020-10-09,271035.0
2020-10-10,273441.0
2020-10-11,275319.0
2020-10-12,277171.0
2020-10-13,279792.0
2020-10-14,283856.0
2020-10-15,286572.0
2020-10-17,291875.0
2020-10-18,293164.0
2020-10-19,296135.0
2020-10-20,298490.0
2020-10-21,300977.0
2020-10-22,303101.0
2020-10-23,304526.0
2020-10-24,305694.0
2020-10-25,306694.0
2020-10-26,308912.0
2020-10-27,310668.0
2020-10-28,312775.0
2020-10-29,314749.0
2020-10-30,316633.0
2020-10-31,318479.0
2020-11-01,319596.0
2020-11-02,321688.0
2020-11-03,324062.0
2020-11-04,325823.0
2020-11-05,327812.0
2020-11-06,329760.0
2020-11-07,331244.0
2020-11-08,332402.0
2020-11-09,334117.0
2020-11-10,336558.0
2020-11-11,338280.0
2020-11-12,339487.0
2020-11-13,341099.0
2020-11-14,341928.0
2020-11-15,342450.0
2020-11-16,343791.0
2020-11-17,345190.0
2020-11-18,346532.0
2020-11-19,347737.0
2020-11-20,348960.0
2020-11-21,350020.0
2020-11-22,350713.0
2020-11-23,351737.0
2020-11-24,353201.0
2020-11-25,354379.0
2020-11-26,355611.0
2020-11-27,356661.0
2020-11-28,357695.0
2020-11-29,358294.0
2020-11-30,359123.0
2020-12-01,360088.0
2020-12-02,361250.0
2020-12-03,362267.0
2020-12-04,363062.0
2020-12-05,363953.0
2020-12-06,364420.0
2020-12-07,365286.0
2020-12-08,365935.0
2020-12-09,366530.0
2020-12-10,367306.0
2020-12-11,367980.0
2020-12-12,368526.0
2020-12-13,368841.0
2020-12-14,369540.0
2020-12-15,370128.0
2020-12-16,370756.0
2020-12-17,371423.0
2020-12-18,371936.0
2020-12-19,372458.0
2020-12-20,372693.0
2020-12-21,373351.0
2020-12-22,373734.0
2020-12-23,374423.0
2020-12-24,375058.0
2020-12-25,375405.0
2020-12-26,375766.0
2020-12-27,376168.0
2020-12-28,376568.0
2020-12-29,377052.0
2020-12-30,377725.0
2020-12-31,378151.0
2021-01-01,378364.0
2021-01-02,378926.0
2021-01-03,379261.0
2021-01-04,379934.0
2021-01-05,381014.0
2021-01-06,381616.0
2021-01-07,382096.0
2021-01-08,382701.0
